barf	barfs	barfed	barfed	barfing
bargain	bargains	bargained	bargained	bargaining
barge	barges	barged	barged	barging
barhop	barhops	barhopped	barhopped	barhopping
bark	barks	barked	barked	barking
barnstorm	barnstorms	barnstormed	barnstormed	barnstorming
barrack	barracks	barracked	barracked	barracking
barrage	barrages	barraged	barraged	barraging
barrel	barrels	barrelled	barrelled	barrelling
barrel-roll	barrel-rolls	barrel-rolled	barrel-rolled	barrel-rolling
barricade	barricades	barricaded	barricaded	barricading
barter	barters	bartered	bartered	bartering
base	bases	based	based	basing
bash	bashes	bashed	bashed	bashing
basify	basifies	basified	basified	basifying
bask	basks	basked	basked	basking
basset	bassets	basseted	basseted	basseting
bastardise	bastardises	bastardised	bastardised	bastardising
bastardize	bastardizes	bastardized	bastardized	bastardizing
baste	bastes	basted	basted	basting
bastinado	bastinadoes	bastinadoed	bastinadoed	bastinadoing
bat	bats	batted	batted	batting
batch	batches	batched	batched	batching
bate	bates	bated	bated	bating
batfowl	batfowls	batfowled	batfowled	batfowling
bath	baths	bathed	bathed	bathing
bathe	bathes	bathed	bathed	bathing
batten	battens	battened	battened	battening
batter	batters	battered	battered	battering
battle	battles	battled	battled	battling
battledore	battledores	battledored	battledored	battledoring
baulk	baulks	baulked	baulked	baulking
bawl	bawls	bawled	bawled	bawling
bay	bays	bayed	bayed	baying
bayonet	bayonets	bayoneted	bayoneted	bayoneting
bcc	bcc's	bcc'ed	bcc'ed	bcc'ing
be	is	was	been	being
beach	beaches	beached	beached	beaching
beacon	beacons	beaconed	beaconed	beaconing
bead	beads	beaded	beaded	beading
beagle	beagles	beagled	beagled	beagling
beam	beams	beamed	beamed	beaming
bean	beans	beaned	beaned	beaning
bear	bears	bore	born	bearing
bear	bears	bore	borne	bearing
beard	beards	bearded	bearded	bearding
beat	beats	beat	beaten	beating
beatbox	beatboxes	beatboxed	beatboxed	beatboxing
beatify	beatifies	beatified	beatified	beatifying
beautify	beautifies	beautified	beautified	beautifying
beaver	beavers	beavered	beavered	beavering
bechance	bechances	bechanced	bechanced	bechancing
beckon	beckons	beckoned	beckoned	beckoning
becloud	beclouds	beclouded	beclouded	beclouding
become	becomes	became	become	becoming
bed	beds	bedded	bedded	bedding
bedaub	bedaubs	bedaubed	bedaubed	bedaubing
bedazzle	bedazzles	bedazzled	bedazzled	bedazzling
bedeck	bedecks	bedecked	bedecked	bedecking
bedevil	bedevils	bedevilled	bedevilled	bedevilling
bedew	bedews	bedewed	bedewed	bedewing
bedight	bedights	bedighted	bedighted	bedighting
bedim	bedims	bedimmed	bedimmed	bedimming
bedizen	bedizens	bedizened	bedizened	bedizening
bedraggle	bedraggles	bedraggled	bedraggled	bedraggling
beef	beefs	beefed	beefed	beefing
beep	beeps	beeped	beeped	beeping
beeswax	beeswaxes	beeswaxed	beeswaxed	beeswaxing
beetle	beetles	beetled	beetled	beetling
befall	befalls	befell	befallen	befalling
befit	befits	befitted	befitted	befitting
befog	befogs	befogged	befogged	befogging
befool	befools	befooled	befooled	befooling
befoul	befouls	befouled	befouled	befouling
befriend	befriends	befriended	befriended	befriending
befuddle	befuddles	befuddled	befuddled	befuddling
beg	begs	begged	begged	begging
beget	begets	begat	begotten	begetting
beget	begets	begot	begot	begetting
beggar	beggars	beggared	beggared	beggaring
begin	begins	began	begun	beginning
begird	begirds	begirt	begirt	begirding
begrime	begrimes	begrimed	begrimed	begriming
begrudge	begrudges	begrudged	begrudged	begrudging
beguile	beguiles	beguiled	beguiled	beguiling
behave	behaves	behaved	behaved	behaving
behead	beheads	beheaded	beheaded	beheading
behold	beholds	beheld	beheld	beholding
behove	behoves	behoved	behoved	behoving
bejewel	bejewels	bejewelled	bejewelled	bejewelling
belabour	belabours	belaboured	belaboured	belabouring
belay	belays	belayed	belayed	belaying
belch	belches	belched	belched	belching
beleaguer	beleaguers	beleaguered	beleaguered	beleaguering
belie	belies	belied	belied	belying
believe	believes	believed	believed	believing
belittle	belittles	belittled	belittled	belittling
bell	bells	belled	belled	belling
bellow	bellows	bellowed	bellowed	bellowing
belly	bellies	bellied	bellied	bellying
belly-laugh	belly-laughs'	belly-laughed	belly-laughed	belly-laughing
bellyache	bellyaches	bellyached	bellyached	bellyaching
bellyland	bellylands	bellylanded	bellylanded	bellylanding
belong	belongs	belonged	belonged	belonging
belt	belts	belted	belted	belting
bemean	bemeans	bemeaned	bemeaned	bemeaning
bemire	bemires	bemired	bemired	bemiring
bemoan	bemoans	bemoaned	bemoaned	bemoaning
bemuse	bemuses	bemused	bemused	bemusing
bename	benames	benempt	benempt	benaming
bench	benches	benched	benched	benching
bench-test	bench-tests	bench-tested	bench-tested	bench-testing
benchmark	benchmarks	benchmarked	benchmarked	benchmarking
benchtest	benchtests	benchtested	benchtested	benchtesting
